PLAYER_NAME,2026_27_TEAM,PTS_PER36,REB_PER36,AST_PER36,STL_PER36,BLK_PER36,PLUS_MINUS_PER36,FG_PCT,FG3_PCT,FT_PCT,W_PCT,MIN,GP,PLAYER_ID,LAST_TEAM,2026_27_SALARY_CLEAN,PTS_PER_MILLION
Moussa Diabaté,CHA,11.198211890018856,12.289982451341634,2.280020420387449,1.164073043886573,1.2883615955895384,-3.4364594361923007,0.617875,0.3125,0.635,0.422625,1652.0854166666666,72.24999999999999,1631217.0,CHA,2461462.0,4.549414896520383
Myles Turner,MIL,18.082921513535737,7.747335165664186,1.8680310116571857,0.8742975005823799,2.2975472542481876,-3.0162046568990917,0.46909999999999996,0.3819,0.7565,0.4926,2023.28,72.5,1626167.0,MIL,26584164.0,0.6802140369558259
Myron Gardner,MIA,14.29458837285782,10.699017064347572,3.85866189205978,1.7539372236635364,0.7015748894654146,16.75010048598677,0.48,0.406,0.731,0.524,410.505,45.0,1642066.0,MIA,2150917.0,6.645811239047262
Nae'Qwan Tomlin,CLE,13.415191063181792,6.671726036769554,1.9010832255311096,1.4706492876750092,1.2195628239256175,12.08801975479215,0.478,0.235,0.77,0.634,1003.6383333333332,64.0,1641772.0,CLE,2411090.0,5.563952844224724
Naji Marshall,DAL,17.110466481686917,6.088921435164336,3.890161379344492,1.35048344080964,0.1800893323470019,-2.203926646142348,0.5,0.3054,0.7821,0.42089999999999994,1919.0196666666666,70.9,1630230.0,DAL,9428571.0,1.8147465275158787
Neemias Queta,BOS,14.458208589164663,11.53252047674999,2.172688075049122,1.0668230432196706,1.913791516285461,35.33894180560991,0.6503,0.0625,0.7204999999999999,0.7207,1288.6736666666666,62.2,1629674.0,BOS,2667944.0,5.4192324086130235
Nick Richards,CHI,14.307057734557466,12.455117903922314,1.0533421357412618,0.4836831083138873,1.5978139617482232,-16.522617033055212,0.5715,0.139,0.6926,0.3719,1078.9693333333335,54.5,1630208.0,CHI,0.0,
Nick Smith Jr.,LAL,16.53006878892195,2.8257323825293836,3.2155498721007376,0.6650841768497184,0.21253748076501114,-7.279475232107857,0.41300000000000003,0.3859,0.8204,0.4438,743.8043333333335,43.2,1641733.0,LAL,0.0,
Nickeil Alexander-Walker,ATL,17.711442141827032,3.8596111995570466,3.9039556000787154,1.2056566528356338,0.6249650086461662,5.487828083765486,0.4487,0.392,0.845,0.5965,2307.7025,80.0,1629638.0,ATL,14403710.0,1.2296444556178256
Nicolas Batum,LAC,8.052335332007196,5.447544634638057,2.155831115600866,1.2901440773767732,0.7830037635696,5.487028598024448,0.4232,0.41090000000000004,0.7948,0.5536,1363.4268333333334,72.4,201587.0,LAC,5881680.0,1.3690536261760577
